sentence_id,sentence,category,type
0,late afternoon a very hot day which took some of the fun out of it,time/day/month,E
1,concessions were overpriced,price,E
2,queues were minimal,queues,I
3,of truly healthy options for dining,food,E
4,park entry fee is reasonable,price,I
5,the queues were,queues,I
6,low wait times i had,queues,I
7,can queue for 15 minutes at intervals,queues,E
8,it feel slightly claustrophobic when full,claustrophobic,E
8,is very stuffy,claustrophobic,E
9,wish it was a little more airy,claustrophobic,E
9,with a few less seats crammed,claustrophobic,E
10,gets pretty hot outside in the afternoon,time/day/month,E
11,really good price,price,I
12,nice food court as,food,I
13,reasonable price,price,I
14,attitude towards disabled children is shocking,handicap,E
14,his chair wouldnt go through the turnstile,handicap,E
15,cost is reasonable,price,I
16,waves fierce in june,time/day/month,E
17,very family friendly especially if you have babies young children,age,I
18,ample free parking,parking,I
19,nice place to go for a family fun day,couples/family,I
19,its also cheaper,price,I
20,little queues,queues,I
21,queues were long,queues,E
22,food is good value,food,I
23,at a reasonable rate,price,I
24,queues for chicken,queues,E
25,food was pretty good and decent,food,I
26,nice place for newly married couple,couples/family,I
27,much better with a wheelchair,handicap,I
28,lot of people on a sunday,time/day/month,E
29,11yo sons interest was held long enough,age,I
30,my threesisters and i,couples/family,I
31,if u you have a walker or wheelchair it could be challenging in some areas of the side walk,handicap,E
32,worth the visit even in a cold monthgo,time/day/month,I
33,those in wheelchairs get in free,handicap,I
34,those in wheelchairs can remain seated,handicap,I
35,all the areas are accessible by wheelchair,handicap,I
36,toilets had disabled facilities,handicap,I
37,impressed with the way disabled visitors were treated,handicap,I
38,recommend the miracle nan gardens to other disabled,handicap,I
39,not expensive,price,I
40,heat in july,time/day/month,E
40,place is crowded,crowd,E
41,recommend to eat somewhere else,food,E
42,a lot of walking,handicap,E
43,great family day out,couples/family,I
44,for all ages,age,I
45,one negative which is thepark entry fee,price,E
45,putting older people off,age,E
46,if you are physically challenged going up the steep stairs is not going to be an option,handicap,E
47,not just for the food,food,I
48,nice drink and eats is a plaesure as well,food,I
49,a range of eating,food,I
50,line up for 30 minutes,queues,E
50,the disabled access ques on the bigger rides were quite long,handicap,E
51,expensive shops,price,E
52,it was busy,crowd,E
52,not incredibly crowded,crowd,I
53,free ride was only about 10 minutes,price,I
54,restaurants and bars seem to be aiming at a pretty low demographic,food,E
55,long line at the entrance,queues,E
56,felt just like an overcrowded elevator,crowd,E
57,if youre overly claustrophobic i wish you all the best,claustrophobic,E
58,very rushed and crowded,crowd,E
59,impeccably clean,hygiene,I
59,great value for money,price,I
60,recommend taking food to eat,food,E
61,well worth the money,price,I
61,perfect for a rainy day,time/day/month,I
62,i was shocked and only 2euro 25cl heineken,price,I
63,pretty cheap for paris,price,I
64,tours are free,price,I
65,recommended for couples families large groups and,couples/family,I
66,most expensive cruises,price,E
66,our honeymoon,couples/family,I
67,go early,time/day/month,I
68,no lines at all,queues,I
69,lot of outdoor seating to eat out,food,I
70,my wife and i love it,couples/family,I
71,something unsettling about young women standing in full length windows doing anything they can to attract old horny married men,age,E
72,roads get quite busy,crowd,E
72,you get claustrophobic its probably best to sit this out,claustrophobic,E
73,worth the 7 one way,price,I
74,hubby and i traveled,couples/family,I
75,large crowd,crowd,E
76,didnt really have to wait long,queues,I
77,ramps that lead from floor to floor so there are no stairs to climb,handicap,I
78,overall quite good for a buffet,food,I
79,crowd is to be expected,crowd,E
80,indeed lots of tourists,crowd,E
81,lovely japanese snacks,food,I
82,if your claustrophobic this isnt the place for you expensive very crowded lines are very long,claustrophobic,E
83,families with little kids older kids couples,couples/family,I
83,group of older ladies all enjoying the experience,age,I
84,always prefer the afternoon matinee performance,time/day/month,I
85,money very well spent,price,I
86,worth every penny,price,I
87,reasonably priced,price,I
88,cheap street food,price,I
91,by his grandparents,age,I
92,small que but no problem,queues,I
93,easy to navigate,handicap,I
94,an enjoyable family day,couples/family,I
95,restaurant with good size portions,food,I
95,reasonably priced,price,I
96,unreal food offerings,food,I
96,steak for 300 a kilo,price,I
97,way cheaper,price,I
98,prices in the market and the shops has gone up significantly over,price,E
99,recc going either early or late,time/day/month,I
100,get the sunset flight,time/day/month,I
101,go eat,food,I
101,just have drinks,food,I
101,for the price of admission,price,I
102,is a bit of a trek,handicap,E
103,3 great morning run,time/day/month,I
104,very quiet in the morning before 9 am,time/day/month,I
104,without spending a penny,price,I
105,my family,couples/family,I
105,3 children 853,age,I
106,largest fell my 3 an 5 year olds have walked but,age,I
107,the kids loved,age,I
108,it was an hour wait,queues,E
109,the buffet was great,food,I
110,ticket price is extremely high,price,E
110,place is overcrowded,crowd,E
111,difficult to find space for parking,parking,E
112,but expensive,price,E
113,5 year old daughter enjoyed it,age,I
114,will be even better on a sunny day,time/day/month,I
115,if it excessively rains there is one valley that floods,time/day/month,E
116,end time around 6 or 7 pm and that was starting around 930 am,time/day/month,I
117,parking was easy,parking,I
118,it was not super crowded,crowd,I
120,the queue wasnt too long,queues,I
121,hard to get the kids to sleep,age,E
122,which wasnt cheap,price,E
123,a little overpriced,price,E
124,lositically with young kids we will fly next time,age,E
125,lots of waiting is involved,queues,E
127,you dont have many options,food,E
129,excellent spread of food,food,I
129,good price,price,I
130,prices arent going to be great,price,E
131,decently priced tickets,price,I
132,entertainment programs for young children,age,I
133,incredibly expensive,price,E
135,just too busy,crowd,E
136,slope became too busy,crowd,E
138,towards the end of the afternoon parts of the slopes especially at the top were too icy,time/day/month,E
139,went later in the afternoon,time/day/month,I
139,didnt nan have to wait or line,queues,I
140,fair prices,price,I
141,wonderful learning experience for the kids,age,I
142,claustrophobic its a bit creepy being underground,claustrophobic,E
143,have good food,food,I
144,very few people on the grounds,crowd,I
145,we were charged the full 17,price,E
146,95 admission price each several attractions and food and drink options were closed,price,E
147,the food was not worth the price,food,E
148,very expensive food and drink,food,E
148,way overpriced,price,E
149,its not worth the price,price,E
150,there were lots of people inside crowding around the stairs,crowd,E
151,only 3 euros,price,I
152,recommend going there early,time/day/month,I
152,there arent so many tourists,crowd,I
153,just dont think the prices are in line with the quality,price,E
154,my wife and i spent,couples/family,I
155,especially in the early morning sunshine,time/day/month,I
156,a free evening,time/day/month,I
157,cheap travel,price,I
158,excellent place for families,couples/family,I
159,can be a little pricey,price,E
159,is well worth,price,I
160,few confined to wheelchairs,handicap,I
161,food was reasonable,food,I
162,the kids turned green from the altitude,age,E
163,you might find it hard to breath,claustrophobic,E
164,not a friendly beach to the handicapped,handicap,E
165,except in parking,parking,E
166,this is a family beach,couples/family,I
168,they are very expensive,price,E
169,not much to see or do with inclement weather or even in the winter,time/day/month,E
170,really busy,crowd,E
171,the queues were right down to the gate,queues,E
172,it was like a cattle market,crowd,E
173,children visiting were enjoy themselves but it was very claustrophobic,claustrophobic,E
174,would recommend midweek,time/day/month,I
175,as a family,couples/family,I
176,can get busy with tourists,crowd,E
176,is more expensive,price,E
177,good food at a reasonable price,food,I
178,massive queues of people,queues,E
179,my other half is claustrophobic,claustrophobic,E
180,my family,couples/family,I
181,parking can be challenging,parking,E
181,reasonably priced,price,I
182,very reasonable price,price,I
183,no entrance fee,price,I
183,friday and saturday nights,time/day/month,I
183,places to eat,food,I
184,kids loved,age,I
185,bridge was full of people,crowd,E
186,get there early,time/day/month,I
186,you may have to wait,queues,E
187,kids have fun,age,I
187,crowds during our visit,crowd,E
188,dodging thousands of people,crowd,E
188,strollers filled with screaming kids,age,I
189,every square foot of the park being occupied by people,crowd,E
190,prices for everything is double literally,price,E
191,had good food,food,I
192,considering the crowds,crowd,E
193,sake of my kids having fun,age,I
194,crowded as we expected,crowd,E
195,were usually packed,crowd,E
196,plenty of restaurants to keep you fed,food,I
196,much cheaper,price,I
197,food in the cafe is really good,food,I
198,my husband and teens,couples/family,I
