,id,words,labels
0,0,i,O
1,0,went,O
2,0,to,O
3,0,the,O
4,0,races,O
5,0,on,O
6,0,a,O
7,0,late,B_EXC
8,0,afternoon,EXC
9,0,a,EXC
10,0,very,EXC
11,0,hot,EXC
12,0,day,EXC
13,0,which,EXC
14,0,took,EXC
15,0,some,EXC
16,0,of,EXC
17,0,the,EXC
18,0,fun,EXC
19,0,out,EXC
20,0,of,EXC
21,0,it,EXC
22,1,honestly,O
23,1,it,O
24,1,seemed,O
25,1,a,O
26,1,bit,O
27,1,more,O
28,1,shabby,O
29,1,than,O
30,1,i,O
31,1,expected,O
32,1,it,O
33,1,to,O
34,1,be,O
35,1,and,O
36,1,the,O
37,1,concessions,B_EXC
38,1,were,EXC
39,1,overpriced,EXC
40,1,but,O
41,1,just,O
42,1,to,O
43,1,stand,O
44,1,at,O
45,1,the,O
46,1,paddock,O
47,1,and,O
48,1,see,O
49,1,the,O
50,1,winners,O
51,1,circle,O
52,1,was,O
53,1,a,O
54,1,great,O
55,1,experience,O
56,2,that,O
57,2,meant,O
58,2,the,O
59,2,queues,B_INC
60,2,were,INC
61,2,minimal,INC
62,3,like,O
63,3,many,O
64,3,theme,O
65,3,parks,O
66,3,theres,O
67,3,a,O
68,3,bit,O
69,3,of,O
70,3,a,O
71,3,lack,O
72,3,of,B_EXC
73,3,truly,EXC
74,3,healthy,EXC
75,3,options,EXC
76,3,for,EXC
77,3,dining,EXC
78,3,or,O
79,3,a,O
80,3,bit,O
81,3,more,O
82,3,variety,O
83,3,other,O
84,3,than,O
85,3,burgers,O
86,3,fries,O
87,3,and,O
88,3,basically,O
89,3,anything,O
90,3,that,O
91,3,isnt,O
92,3,deep,O
93,3,fried,O
94,4,its,O
95,4,why,O
96,4,i,O
97,4,never,O
98,4,complain,O
99,4,about,O
100,4,a,O
101,4,delayed,O
102,4,aircraft,O
103,4,due,O
104,4,to,O
105,4,mechanical,O
106,4,reasonsthe,O
107,4,park,B_INC
108,4,entry,INC
109,4,fee,INC
110,4,is,INC
111,4,reasonable,INC
112,4,and,O
113,4,moreso,O
114,4,if,O
115,4,youre,O
116,4,a,O
117,4,local,O
118,4,and,O
119,4,can,O
120,4,upgrade,O
121,4,to,O
122,4,a,O
123,4,season,O
124,4,pass,O
125,5,of,O
126,5,course,O
127,5,the,O
128,5,best,O
129,5,ride,O
130,5,here,O
131,5,is,O
132,5,the,O
133,5,iron,O
134,5,rattler,O
135,5,which,O
136,5,i,O
137,5,probably,O
138,5,rode,O
139,5,about,O
140,5,8,O
141,5,times,O
142,5,,O
143,5,and,O
144,5,again,O
145,5,the,B_INC
146,5,queues,INC
147,5,were,INC
148,5,minimal,O
149,5,,O
150,5,pretty,O
151,5,much,O
152,5,straight,O
153,5,on,O
154,5,unless,O
155,5,you,O
156,5,wanted,O
157,5,to,O
158,5,wait,O
159,5,for,O
160,5,the,O
161,5,front,O
162,5,row,O
163,5,,O
164,5,which,O
165,5,i,O
166,5,did,O
167,6,so,O
168,6,again,O
169,6,my,O
170,6,review,O
171,6,is,O
172,6,biased,O
173,6,because,O
174,6,of,O
175,6,the,O
176,6,low,B_INC
177,6,wait,INC
178,6,times,INC
179,6,i,INC
180,6,had,INC
181,7,but,O
182,7,its,O
183,7,hard,O
184,7,seats,O
185,7,are,O
186,7,too,O
187,7,small,O
188,7,sound,O
189,7,feed,O
190,7,can,O
191,7,be,O
192,7,slightly,O
